msisdn,clientId,externalId,NAME
998932107400,CL-0001,payroll-2026-08-0001,Иван
998909089700,CL-0002,payroll-2026-08-0002,Пётр
998975856900,CL-0003,payroll-2026-08-0003,Анна
998962164600,CL-0004,payroll-2026-08-0004,Мария
998992208300,CL-0005,payroll-2026-08-0005,Дмитрий
998978845200,CL-0006,payroll-2026-08-0006,Ольга
998921341900,CL-0007,payroll-2026-08-0007,Сергей
998960245500,CL-0008,,Екатерина
998906150604,CL-0009,payroll-2026-08-0009,Алексей
998939205900,CL-0010,payroll-2026-08-0010,Наталья
998925529400,CL-0011,payroll-2026-08-0011,Азиз
998997448300,CL-0012,payroll-2026-08-0012,Дилноза
998907357800,CL-0013,payroll-2026-08-0013,Тимур
998912645901,CL-0014,payroll-2026-08-0014,Гулнора
998974844100,CL-0015,payroll-2026-08-0015,Рустам
998976935600,CL-0016,payroll-2026-08-0016,Малика
998901485800,CL-0017,payroll-2026-08-0017,Шохрух
998956431401,CL-0018,payroll-2026-08-0018,Зарина
998980942100,CL-0019,,Бахтиёр
998959760300,CL-0020,payroll-2026-08-0020,Нигора
998905090601,CL-0021,payroll-2026-08-0021,Фаррух
998906967604,CL-0022,payroll-2026-08-0022,Севара
998979782800,CL-0023,payroll-2026-08-0023,Отабек
998976720500,CL-0024,payroll-2026-08-0024,Камола
998979467500,CL-0025,payroll-2026-08-0025,Жасур
998957090900,CL-0026,payroll-2026-08-0026,Мадина
998994856701,CL-0027,,Улугбек
998952296700,CL-0028,payroll-2026-08-0028,Феруза
998918390200,CL-0029,payroll-2026-08-0029,Санжар
998994453400,CL-0030,payroll-2026-08-0030,Лола
998944300601,CL-0031,payroll-2026-08-0031,Андрей
998982484900,CL-0032,payroll-2026-08-0032,Юлия
998918945800,CL-0033,payroll-2026-08-0033,Виктор
998914367400,CL-0034,payroll-2026-08-0034,Светлана
998914001300,CL-0035,payroll-2026-08-0035,Максим
998967050600,CL-0036,payroll-2026-08-0036,Ирина
998928091500,CL-0037,payroll-2026-08-0037,Николай
998906742200,CL-0038,payroll-2026-08-0038,Елена
998984758404,CL-0039,payroll-2026-08-0039,Роман
998918298700,CL-0040,,Татьяна
998946898400,CL-0041,payroll-2026-08-0041,Шерзод
998930218300,CL-0042,payroll-2026-08-0042,Дилшод
998907407901,CL-0043,payroll-2026-08-0043,Нодира
998973436800,CL-0044,payroll-2026-08-0044,Азамат
998906333600,CL-0045,payroll-2026-08-0045,Гулбахор
998918407801,CL-0046,payroll-2026-08-0046,Иброхим
998960147500,CL-0047,payroll-2026-08-0047,Хуршид
998973680200,CL-0048,,Дилфуза
998908384200,CL-0049,payroll-2026-08-0049,Бобур
998922456400,CL-0050,payroll-2026-08-0050,Зухра
